Date,Open,High,Low,Close,Volume
10/17/2022,"210.04","221.86","209.45","219.35","79,428,805"
10/14/2022,"224.01","226.26","204.16","204.99","94,124,516"
10/13/2022,"208.30","222.99","206.22","221.72","91,483,047"
10/12/2022,"215.33","219.30","211.51","217.24","66,860,703"
10/11/2022,"220.95","225.75","215.00","216.50","77,013,203"
10/10/2022,"223.93","226.99","218.36","222.96","67,925,023"
10/07/2022,"233.94","234.57","222.02","223.07","83,916,797"
10/06/2022,"239.44","244.58","235.35","238.13","69,298,438"
10/05/2022,"245.01","246.67","233.27","240.81","86,982,672"
10/04/2022,"250.52","257.50","242.01","249.44","109,578,492"
10/03/2022,"254.50","255.16","241.01","242.40","98,363,539"
09/30/2022,"266.15","275.57","262.47","265.25","67,726,602"
09/29/2022,"282.76","283.65","265.78","268.21","77,620,641"
09/28/2022,"283.08","289.00","277.57","287.81","54,664,809"
09/27/2022,"283.84","288.67","277.51","282.94","61,925,191"
09/26/2022,"271.83","284.09","270.31","276.01","58,076,910"
09/23/2022,"283.09","284.50","272.82","275.33","63,748,359"
09/22/2022,"299.86","301.29","285.82","288.59","70,545,406"
09/21/2022,"308.29","313.80","300.63","300.80","62,555,660"
09/20/2022,"306.91","313.33","305.58","308.73","61,642,781"
09/19/2022,"300.09","309.84","297.80","309.07","60,231,160"
09/16/2022,"299.61","303.71","295.60","303.35","87,087,789"
09/15/2022,"301.83","309.12","300.72","303.75","64,795,520"
09/14/2022,"292.24","306.00","291.64","302.61","72,628,648"
09/13/2022,"292.90","297.40","290.40","292.13","68,229,617"
09/12/2022,"300.72","305.49","300.40","304.42","48,674,602"
09/09/2022,"291.67","299.85","291.25","299.68","54,470,848"
09/08/2022,"281.30","289.50","279.76","289.26","53,713,121"
09/07/2022,"273.10","283.84","272.27","283.70","50,028,922"
09/06/2022,"272.68","275.99","265.74","274.42","55,859,980"
09/02/2022,"281.07","282.35","269.08","270.21","50,890,090"
09/01/2022,"272.58","277.58","266.15","277.16","54,287,020"
